Num,Price
1.00,3107.26
2.00,2921.39
3.00,3157.15
4.00,2710.30
5.00,2464.60
6.00,3073.80
7.00,3236.65
8.00,3054.75
9.00,2970.25
10.00,2698.55
11.00,2870.35
12.00,2783.15
13.00,2554.80
14.00,2768.40
15.00,2665.75
16.00,2711.30
17.00,2900.25
18.00,2773.25
19.00,2360.35
20.00,2232.10
21.00,2199.30
22.00,2155.10
23.00,1969.20
24.00,1736.30
25.00,1932.55
26.00,2067.80
27.00,2284.15
28.00,2346.00
29.00,2486.60
30.00,2279.65
31.00,2163.65
32.00,2520.65
33.00,2501.20
34.00,3096.90
35.00,3308.75
36.00,3295.80
37.00,3080.50
38.00,2865.50
39.00,2966.40
40.00,2838.65
41.00,2661.05
42.00,2513.30
43.00,2600.05
44.00,2324.45
45.00,2402.40
46.00,2382.60
47.00,2287.30
48.00,2128.65
49.00,1833.15
50.00,1657.80
51.00,1806.05
52.00,1735.80
53.00,1826.85
54.00,1658.45
55.00,1633.65
56.00,1912.65
57.00,2045.80
58.00,2031.85
59.00,2182.10
60.00,2422.70
61.00,2566.75
62.00,2522.05
63.00,2681.05
64.00,2798.90
65.00,2652.50
66.00,3072.10
67.00,3127.30
68.00,3096.55
69.00,2974.40
70.00,2952.95
71.00,2991.35
72.00,3259.95
73.00,3474.85
74.00,3550.30
75.00,3876.55
76.00,3678.35
77.00,3940.15
78.00,4065.85
79.00,3994.35
80.00,3512.55
81.00,3774.85
82.00,3593.65
83.00,3440.15
84.00,3335.10
85.00,3643.45
86.00,3485.35
87.00,3296.95
88.00,3163.75
89.00,3154.60
90.00,2915.85
91.00,2871.60
92.00,3044.15
93.00,3089.10
94.00,2900.40
95.00,2980.20
96.00,2588.15
97.00,2289.95
98.00,2439.85
99.00,2500.75
100.00,2625.50
101.00,2801.30
102.00,2569.00
103.00,2246.05
104.00,1585.90
105.00,1859.90
106.00,1879.85
107.00,1991.35
108.00,2147.30
109.00,2420.60
110.00,2242.55
111.00,2343.60
112.00,2925.75
113.00,3254.65
114.00,3077.45
115.00,3822.65
116.00,3977.20
117.00,4847.95
118.00,5161.80
119.00,5215.80
120.00,5770.35
121.00,5714.60
122.00,5611.25
123.00,5563.40
124.00,5201.70
125.00,5521.75
126.00,5473.45
127.00,5896.85
128.00,6423.70
129.00,6327.30
130.00,5332.75
131.00,4660.90
132.00,5485.80
133.00,5934.60
134.00,5768.20
135.00,5896.35
136.00,6564.20
137.00,6723.40
138.00,6468.40
139.00,5269.10
140.00,5460.20
